"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
1;"Albania";"Jonida Maliqi";"Ktheju tokës";39;2;16;16;17;1;90;43;47;4;"https://youtu.be/-vZDCw9Pedw?si=iL5gKIsP0pwxlhez";;
2;"Armenia";"Srbuk";"Walking Out";45;;;;;;;;;;"https://youtu.be/avBwSUYlTtI?si=W0Rq-JZFnC3dJj4z";"https://music.apple.com/gb/album/walking-out/1456627742?i=1456627743";"https://open.spotify.com/track/5ilWyRLCjLzlWwjSwPasgl?si=bbb299f73d0a4463"
3;"Australia";"Kate Miller-Heidke";"Zero Gravity";52;25;9;6;7;1;284;153;131;22;"https://youtu.be/Eo5H62mCIsg?si=eY-wxjXUEvH1yOZh";"https://music.apple.com/gb/album/zero-gravity/1449808134?i=1449808135";"https://open.spotify.com/track/4m5FlWpaOri9OrDUj1EoTg?si=9d86eb0107da44c9"
4;"Austria";"Pænda";"Limits";8;;;;;;;;;;"https://youtu.be/FVSZDF9O-bA?si=s5C2dj4dy-sCxqui";"https://music.apple.com/gb/album/limits/1455618015?i=1455618022";"https://open.spotify.com/track/3BDkDocp0pBbZFfT0aNjdA?si=b0c9f28cf2d84a16"
5;"Azerbaijan";"Chingiz";"Truth";50;20;8;5;8;3;302;202;100;102;"https://youtu.be/D6vvuCiHwSs?si=xflp6W06Rz-hIL_a";;
6;"Belarus";"Zena";"Like It";41;19;23;21;23;2;31;18;13;5;"https://youtu.be/C1Y9LBusHzA?si=rkw_iMutWiYptwkj";"https://music.apple.com/gb/album/like-it/1457579708?i=1457579709";"https://open.spotify.com/track/6sGcFdmfVhmq09Dy1rQgAh?si=644492b70bd445a2"
7;"Belgium";"Eliot";"Wake Up";1;;;;;;;;;;"https://youtu.be/iFB9NnjU4ns?si=ChiJ2MNbGk23EvnV";"https://music.apple.com/gb/album/wake-up/1461487038?i=1461487039";"https://open.spotify.com/track/4oQQAaU8J9A3JckIuNYCTv?si=d56b2f86ef4345c2"
8;"Croatia";"Roko";"The Dream";27;;;;;;;;;;"https://youtu.be/gXT5E8kUgfs?si=Db7TS7UL8HQvTRSS";"https://music.apple.com/gb/album/the-dream/1456539927?i=1456539928";"https://open.spotify.com/track/5H3QnsLU4k0tqGfiW6A6DW?si=24baeb741b5a420a"
9;"Cyprus";"Tamta";"Replay";24;11;13;11;20;9;109;77;32;45;"https://youtu.be/wIpEI-NhRxg?si=6nTO_sP1M3iPjMKj";"https://music.apple.com/gb/album/replay/1454794993?i=1454794998";"https://open.spotify.com/track/2UOyQB26wSQzM0jiTcUg50?si=6fdb1c9cd79443ca"
10;"Czechia";"Lake Malawi";"Friend of a Friend";46;3;11;8;24;16;157;150;7;143;"https://youtu.be/NJxLKFZKhNs?si=ZLgYa4J3nSloLWaj";"https://music.apple.com/gb/album/friend-of-a-friend/1448276628?i=1448276634";"https://open.spotify.com/track/2U7Zc6NrWQgUWdBAIFrzdI?si=e8aea5844d784420"
11;"Denmark";"Leonora";"Love Is Forever";9;6;12;12;15;3;120;69;51;18;"https://youtu.be/mucmvTLHJQM?si=xdf6fG2VM34oJol0";"https://music.apple.com/gb/album/love-is-forever/1451483859?i=1451483863";"https://open.spotify.com/track/43k9g3vEP8z0qgkoyHjWV3?si=f0df1e4b56a7499c"
12;"Estonia";"Victor Crone";"Storm";29;18;19;19;16;3;76;28;48;20;"https://youtu.be/PppvSl3_W4E?si=9h25x0hwAz1Ca4FO";"https://music.apple.com/gb/album/storm/1446425844?i=1446426003";"https://open.spotify.com/track/5oFGpjPtk5R32LITfkkMLx?si=231e67f31ab34aa9"
13;"Finland";"Darude feat. Sebastian Rejman";"Look Away";14;;;;;;;;;;"https://youtu.be/VSPhIwOJfRs?si=bbZcqyjYyUNu2BTX";"https://music.apple.com/gb/album/look-away-feat-sebastian-rejman/1453197533?i=1453197534";"https://open.spotify.com/track/6Bo74efyPjwcWhXi7MGY6A?si=856033b3ff2b4470"
14;"France";"Bilal Hassani";"Roi";2;21;15;13;18;5;105;67;38;29;"https://youtu.be/AjZNbIQtWvw?si=-0wXKbL_3cwzqIDc";"https://music.apple.com/gb/album/roi/1458607656?i=1458607657";"https://open.spotify.com/track/31fZkC34zBdY5GRB2gRcBs?si=2974cb49626d4da9"
15;"Georgia";"Oto Nemsadze";"Keep On Going";47;;;;;;;;;;"https://youtu.be/vu4nHsaAJwU?si=qFtNFRnqgMD_FLae";"https://music.apple.com/gb/album/keep-on-going/1457677963?i=1457678341";"https://open.spotify.com/track/2vs3g4jUwlyhOv12wAtu2L?si=c85e7531d36c4842"
16;"Germany";"S!sters";"Sister";3;4;24;20;26;6;24;24;0;24;"https://youtu.be/yFbSj_yPCPM?si=3aJkV1b6rl_DCan1";"https://music.apple.com/gb/album/sister/1456631167?i=1456631177";"https://open.spotify.com/track/4AShR4usxlAsDxFAUMZMrM?si=b9200d8c12c04429"
17;"Greece";"Katerine Duska";"Better Love";21;13;20;14;21;7;74;50;24;26;"https://youtu.be/5pQV_-40m_U?si=zOYsxLXSBDbz1ODG";"https://music.apple.com/gb/album/better-love/1455395668?i=1455395757";"https://open.spotify.com/track/0QvJ5pNWlnMiLIxr7M6t3N?si=7b0911107cdb4c2e"
18;"Hungary";"Joci Pápai";"Az én apám";30;;;;;;;;;;"https://youtu.be/IpVr0pBLfI4?si=leYAHYhDdkLGoz2a";"https://music.apple.com/gb/album/az-%C3%A9n-ap%C3%A1m-esc-version/1673164516?i=1673164517";"https://open.spotify.com/track/4Ja2w69atZTtDXlVtPtX3q?si=6ed7d1b7a10d4171"
19;"Iceland";"Hatari";"Hatrið mun sigra";25;17;10;15;6;9;232;46;186;140;"https://youtu.be/kTb69WkBbvs?si=iHx6fd9icAmQ_AcB";"https://music.apple.com/gb/album/hatri%C3%B0-mun-sigra/1623882307?i=1623882313";"https://open.spotify.com/track/1JBqLoGfH1LnGTE0wzAatU?si=b77960ff7d854b58"
20;"Ireland";"Sarah McTernan";"22";18;;;;;;;;;;"https://youtu.be/lX7DT9GMHQM?si=AyPmLVCjruWWmTNy";"https://music.apple.com/gb/album/22/1457575481?i=1457575485";"https://open.spotify.com/track/3ZBeBPho2tpNn6vHcic9Jd?si=87b32e618cb84db4"
21;"Israel";"Kobi Marimi";"Home";20;14;22;25;19;6;35;0;35;35;"https://youtu.be/uCdS42uCqP0?si=9NMqXEA3FpGfCYEA";"https://music.apple.com/gb/album/home/1546245494?i=1546245495";"https://open.spotify.com/track/4UOObTxA2DDroKBthkiENG?si=bc24b3cadd354f8d"
22;"Italy";"Mahmood";"Soldi";4;22;2;4;3;1;472;219;253;34;"https://youtu.be/M-aoyPa41Ic?si=2OjD7eV7fAN_B-ZO";"https://music.apple.com/gb/album/soldi/1453013851?i=1453013867";"https://open.spotify.com/track/2dxky69jKzbtUfA3Hl8Nuo?si=2b1106118ea94a26"
23;"Latvia";"Carousel";"That Night";37;;;;;;;;;;"https://youtu.be/NCtKU3m3R-8?si=69xQX9EqXSOld7ex";"https://music.apple.com/gb/album/that-night/1456260796?i=1456260797";"https://open.spotify.com/track/2lXVZV4hnSlH1emXHocEUO?si=17795ed7f35d4f38"
24;"Lithuania";"Jurij Veklenko";"Run with the Lions";31;;;;;;;;;;"https://youtu.be/5Nb3HMzsfZY?si=MiyaWgIcVpy_E55J";"https://music.apple.com/gb/album/run-with-the-lions/1458385236?i=1458385240";"https://open.spotify.com/track/1PiZscF70USgrXYRNn9hoT?si=c3c072ad87f84dbf"
25;"Malta";"Michela";"Chameleon";19;1;14;10;22;12;107;87;20;67;"https://youtu.be/H-byNyainRA?si=tP9GuyhIUYprr0u0";"https://music.apple.com/gb/album/chameleon/1658531860?i=1658531861";"https://open.spotify.com/track/3f2A1yImyhIh63zVioggr5?si=03bebb679d8944a8"
26;"Moldova";"Anna Odobescu";"Stay";44;;;;;;;;;;"https://youtu.be/-mo207V5Z2o?si=nHJm3t3-i-xTNYdC";"https://music.apple.com/gb/album/stay/1450910377?i=1450910383";"https://open.spotify.com/track/78iJjN4KTvervCOGL5hZ6R?si=a37d9cc607124975"
27;"Montenegro";"D mol";"Heaven";48;;;;;;;;;;"https://youtu.be/oV200JAouTc?si=tffcfE-SV44DpYJd";"https://music.apple.com/gb/album/heaven/1457685721?i=1457685722";"https://open.spotify.com/track/3xiAusIKlqfnatyzEWzdtS?si=aecbbe1f614846e8"
28;"Netherlands";"Duncan Laurence";"Arcade";6;12;1;3;2;1;498;237;261;24;"https://youtu.be/R3D-r4ogr7s?si=9K7FOCfmlDUCd_Fz";"https://music.apple.com/gb/album/arcade/1455089965?i=1455090089";"https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD?si=eaf9aac8be7f47c8"
29;"North Macedonia";"Tamara Todevska";"Proud";36;8;7;1;12;11;305;247;58;189;"https://youtu.be/0pAURAsum4A?si=jvUu_ryWcAMK_xjb";"https://music.apple.com/gb/album/proud/1457333363?i=1457333364";"https://open.spotify.com/track/4L2YQw0JBuYcS8M1uQKQjC?si=54f86dcfa01c4644"
