"year","venue","country","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2001,"Parken Stadium","Netherlands","Michelle","Out on My Own",1,18,17,18,1,15,"https://youtu.be/5h2Kbu-aPu0?si=zEb_-ZnZOBJ-QQgv",NULL,NULL
2001,"Parken Stadium","Iceland","Two Tricky","Angel",2,22,18,22,0,3,"https://youtu.be/efZ86C_ufvw?si=Z1OT95H8DuiZQVXc","https://music.apple.com/gb/album/angel-eurovision-edit/1631757940?i=1631757942","https://open.spotify.com/track/7nenj7SolCHKV3s8mjAHf8?si=beeb9b4f6a404e5e"
2001,"Parken Stadium","Bosnia and Herzegovina","Nino","Hano",3,14,14,12,6,23,"https://youtu.be/7_D7uZ92Y00?si=IUdLvPtaksc0tN1R","https://music.apple.com/gb/album/hano/260009845?i=260011301",NULL
2001,"Parken Stadium","Norway","Haldor Lægreid","On My Own",4,22,18,22,0,3,"https://youtu.be/t7onuhcUkDw?si=yQERtKkHOt70saRS","https://music.apple.com/gb/album/on-my-own/968913879?i=968913887","https://open.spotify.com/track/3d1jFD6GZdBev8CVsuHZkU?si=254887fc3ce74304"
2001,"Parken Stadium","Israel","Tal Sondak","Ein Davar",5,16,10,19,14,11,"https://youtu.be/IA7d3pBUoHU?si=F8ZrZzlZj0MEXfUV",NULL,NULL
2001,"Parken Stadium","Russia","Mumiy Troll","Lady Alpine Blue",6,12,16,10,4,33,"https://youtu.be/cI33ZG-vL1I?si=6yxpxw6QMGAKYUWb",NULL,NULL
2001,"Parken Stadium","Sweden","Friends","Listen to Your Heartbeat",7,5,5,5,19,81,"https://youtu.be/xR4BFQYFzMU?si=o8h8A1lk9cj8eQQl","https://music.apple.com/gb/album/listen-of-your-heartbeat/276487022?i=276487185","https://open.spotify.com/track/4tLsZwIvw2kAzJm58ozxJP?si=4846ac278da54789"
2001,"Parken Stadium","Lithuania","Skamp","You Got Style",8,13,11,12,12,23,"https://youtu.be/r8LV0h7ixCY?si=s_HU2ybNk8ifTvHj","https://music.apple.com/gb/album/you-got-style/268403218?i=268403710","https://open.spotify.com/track/02AK9DE6ttEbcFxMOim4YZ?si=01d1dc38389b48ef"
2001,"Parken Stadium","Latvia","Arnis Mednis","Too Much",9,18,18,16,0,16,"https://youtu.be/uN0WwwEL81I?si=djW_VOuA158EKu4j","https://music.apple.com/gb/album/too-much-eurovision-mix/903636767?i=903636846","https://open.spotify.com/track/3XJ8YC4wks6m14Jy2p6QNQ?si=fe1998bb85b942f2"
2001,"Parken Stadium","Croatia","Vanna","Strings of My Heart",10,10,3,16,26,16,"https://youtu.be/i4BSbWNOp2Q?si=UF78ebAUtF7hTv9D","https://music.apple.com/gb/album/strings-of-my-heart/381360621?i=381361647","https://open.spotify.com/track/7b011YotePNLplTMrbMgnu?si=26efadd4bb1045df"
