"year";"venue";"country";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1967;"Großer Festsaal der Wiener Hofburg";"Netherlands";"Thérèse Steinmetz";"Ring-dinge-ding";1;14;14;;2;;"https://youtu.be/_N2eamx50nU?si=6wtrzD8xpPfBjuXX";"https://music.apple.com/gb/album/ring-dinge-ding/1458618049?i=1458618051";"https://open.spotify.com/track/5jw0KaceCNXI3JAndQIqVh?si=04e0cc46be134aba"
1967;"Großer Festsaal der Wiener Hofburg";"Luxembourg";"Vicky";"L'amour est bleu";2;4;4;;17;;"https://youtu.be/nD4ib9-laGY?si=23nt4tpzM1ITnxwy";"https://music.apple.com/gb/album/lamour-est-bleu/1484095388?i=1484096295";
1967;"Großer Festsaal der Wiener Hofburg";"Austria";"Peter Horton";"Warum es hunderttausend Sterne gibt";3;14;14;;2;;"https://youtu.be/ZgnZfdkQ530?si=sIavTGYk8EdkbcVp";;
1967;"Großer Festsaal der Wiener Hofburg";"France";"Noëlle Cordier";"Il doit faire beau là-bas";4;3;3;;20;;"https://youtu.be/9eWFFOduXWI?si=stdIrQcdakMGaa9W";;
1967;"Großer Festsaal der Wiener Hofburg";"Portugal";"Eduardo Nascimento";"O vento mudou";5;12;12;;3;;"https://youtu.be/9ttguvQmqTw?si=CuhNmXpn69bcZ0NQ";"https://music.apple.com/gb/album/o-vento-mudou/1400171228?i=1400171404";"https://open.spotify.com/track/0XTIjnsEWgTr5uZRTqfna5?si=e1b815afd4f84ca1"
1967;"Großer Festsaal der Wiener Hofburg";"Switzerland";"Géraldine";"Quel cœur vas-tu briser ?";6;17;17;;0;;"https://youtu.be/cd34NSLZIME?si=o4sOQY9pqfrzAfQe";;
1967;"Großer Festsaal der Wiener Hofburg";"Sweden";"Östen Warnerbring";"Som en dröm";7;8;8;;7;;"https://youtu.be/RHroCOZDgng?si=bTTzw2Lnf4Y4GrKo";;
1967;"Großer Festsaal der Wiener Hofburg";"Finland";"Fredi";"Varjoon – suojaan";8;12;12;;3;;"https://youtu.be/-GrU7Jfc9HM?si=nl0Zd6oU_lQbUrCw";"https://music.apple.com/gb/album/varjoon-suojaan/209386371?i=209386398";"https://open.spotify.com/track/7GaBWkzawVsNZdD1JrLSt6?si=02a9426e8ac44788"
1967;"Großer Festsaal der Wiener Hofburg";"Germany";"Inge Brück";"Anouschka";9;8;8;;7;;"https://youtu.be/15jOhZ_23s8?si=iJyKTfOmrEegNdcv";"https://music.apple.com/gb/album/anouschka/314023736?i=314024189";"https://open.spotify.com/track/6LhJIO58tpna7IKqxUmYRN?si=18ca25c65e1e4481"
1967;"Großer Festsaal der Wiener Hofburg";"Belgium";"Louis Neefs";"Ik heb zorgen";10;7;7;;8;;"https://youtu.be/Yd8fJ4wlYYg?si=_n78dO3ZSnokVGMC";"https://music.apple.com/gb/album/ik-heb-zorgen/1483116405?i=1483116407";"https://open.spotify.com/track/6pXIN9tdQzQINm6IRgm6v0?si=8ff34991fb5440a2"
1967;"Großer Festsaal der Wiener Hofburg";"United Kingdom";"Sandie Shaw";"Puppet on a String";11;1;1;;47;;"https://youtu.be/OkbVhjxdr8A?si=JH8PMR5H3P8Fqq50";"https://music.apple.com/gb/album/puppet-on-a-string/1467380166?i=1467380894";"https://open.spotify.com/track/7f5w4aiYgVZrp9w4bNaBLu?si=6d16093f4d2a4af4"
1967;"Großer Festsaal der Wiener Hofburg";"Spain";"Raphael";"Hablemos del amor";12;6;6;;9;;"https://youtu.be/iuFiQLQYM7w?si=bPAekuephIeCmVaU";"https://music.apple.com/gb/album/hablemos-del-amor/693490631?i=693490639";"https://open.spotify.com/track/1uG9IM78KZTIEBzcWEd2E8?si=608c5083300443e7"
1967;"Großer Festsaal der Wiener Hofburg";"Norway";"Kirsti Sparboe";"Dukkemann";13;14;14;;2;;"https://youtu.be/Y7I__FNMevk?si=tYkYEn0ps_5kyH_R";"https://music.apple.com/gb/album/dukkemann/297209884?i=297209975";"https://open.spotify.com/track/6U2birUTzSLbWAf5vL4EpG?si=37e2cfe4e3cd4264"
1967;"Großer Festsaal der Wiener Hofburg";"Monaco";"Minouche Barelli";"Boum-Badaboum";14;5;5;;10;;"https://youtu.be/aPwd6IKgGQQ?si=8SBQRg_NOF4fvT8b";;
1967;"Großer Festsaal der Wiener Hofburg";"Yugoslavia";"Lado Leskovar";"Vse rože sveta";15;8;8;;7;;"https://youtu.be/Fy6oHSDCAXQ?si=eHDPUtfk0PFpz0BO";"https://music.apple.com/gb/album/vse-roze-sveta/483001409?i=483001443";"https://open.spotify.com/track/5T9gnM2nUHKTwu4PFNdB2n?si=016ef3f078c34900"
1967;"Großer Festsaal der Wiener Hofburg";"Italy";"Claudio Villa";"Non andare più lontano";16;11;11;;4;;"https://youtu.be/FlnJLOjsV44?si=XKvIW1Q293HqWEIf";;
1967;"Großer Festsaal der Wiener Hofburg";"Ireland";"Sean Dunphy";"If I Could Choose";17;2;2;;22;;"https://youtu.be/kDFmu-klR78?si=ge5v3foI_44SfZTu";"https://music.apple.com/gb/album/if-i-could-choose/1439348371?i=1439348534";"https://open.spotify.com/track/6csPs5g5gUraKCMlf8y9LB?si=e087a45290354602"
